Sep2018,Sep2017,ProgrammingLanguage,Ratings,Change
1,1,Java,17.436%,+4.75%
2,2,C,15.447%,+8.06%
3,5,Python,7.653%,+4.67%
4,3,C++,7.394%,+1.83%
5,8,Visual Basic .NET,5.308%,+3.33%
6,4,C#,3.295%,-1.48%
7,6,PHP,2.775%,+0.57%
8,7,JavaScript,2.131%,+0.11%
9,-,SQL,2.062%,+2.06%
10,18,Objective-C,1.509%,+0.00%
11,12,Delphi/Object Pascal,1.292%,-0.49%
12,10,Ruby,1.291%,-0.64%
13,16,MATLAB,1.276%,-0.35%
14,15,Assembly language,1.232%,-0.41%
15,13,Swift,1.223%,-0.54%
16,17,Go,1.081%,-0.49%
17,9,Perl,1.073%,-0.88%
18,11,R,1.016%,-0.80%
19,19,PL/SQL,0.850%,-0.63%
20,14,Visual Basic,0.682%,-1.07%
